epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.82663,2.93405,3.82568,2.37138,0,0,0,0,0,0,0,0.000238167,0.000238167,0.000238167
2,19.2365,2.38992,3.88363,1.88565,0,0,0,0,0,0,0,0.000679132,0.000679132,0.000679132
3,27.4241,2.87227,3.94703,2.37776,0,0,0,0,0,0,0,0.00107294,0.00107294,0.00107294
4,36.1958,2.35816,4.04559,2.11706,0,0,0,0,0,0,0,0.00121679,0.00121679,0.00121679
5,45.0279,2.07646,3.45442,1.84212,0,0,0,0,0,0,0,0.00114606,0.00114606,0.00114606
6,54.0777,2.34418,3.51904,2.04021,0,0,0,0,0,0,0,0.00107532,0.00107532,0.00107532
7,63.0689,2.25962,3.53938,1.97258,0,0,0,0,0,0,0,0.00100459,0.00100459,0.00100459
8,72.4097,2.2145,3.03119,1.80403,0,0,0,0,0,0,0,0.000933851,0.000933851,0.000933851
9,80.3938,1.97244,2.81809,1.70573,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
10,87.0329,1.88773,2.84276,1.67763,0,0,0,0,0,0,0,0.00079238,0.00079238,0.00079238
11,94.2313,2.1453,2.78548,1.96379,0,0,0,0,0,0,0,0.000721645,0.000721645,0.000721645
12,101.757,1.75152,2.79537,1.62705,0,0,0,0,0,0,0,0.000650909,0.000650909,0.000650909
13,109.28,2.34822,3.34258,1.87577,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
14,116.418,1.82271,2.78067,1.816,0,0,0,0,0,0,0,0.000509438,0.000509438,0.000509438
15,124.22,1.93374,2.69863,1.80311,0,0,0,0,0,0,0,0.000438703,0.000438703,0.000438703
16,131.675,1.88774,2.68184,1.73785,0,0,0,0,0,0,0,0.000367967,0.000367967,0.000367967
17,138.46,1.8657,2.86252,1.61665,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
18,146.811,2.3104,2.96015,1.77892,0,0,0,0,0,0,0,0.000226497,0.000226497,0.000226497
19,155.108,1.9936,2.50853,1.73697,0,0,0,0,0,0,0,0.000155761,0.000155761,0.000155761
20,212.619,1.81644,2.33601,1.74645,0.00109,0.11888,0.00106,0.00027,2.52306,4.66425,2.00634,8.50255e-05,8.50255e-05,8.50255e-05
